epoch,train_loss,train_acc,val_acc,lr
0,2.08777,0.24867,0.45926,0.000099
1,1.85104,0.46112,0.58664,0.000098
2,1.67973,0.56020,0.62691,0.000095
3,1.55271,0.59533,0.67062,0.000090
4,1.44739,0.62789,0.68904,0.000085
5,0.97680,0.72580,0.85233,0.000040
6,0.54698,0.83471,0.92726,0.000036
7,0.37727,0.88585,0.95161,0.000033
epoch,train_loss,train_acc,val_acc,lr
8,0.29555,0.90974,0.95910,0.000029
9,0.24932,0.92708,0.96628,0.000025
10,0.20925,0.93926,0.96847,0.000021
11,0.18524,0.94472,0.97128,0.000017
12,0.16420,0.95144,0.97377,0.000014
13,0.15415,0.95511,0.97440,0.000010
